dataset,model,include_non_intersection_frac,balanced_accuracy_mean,macro_f1_mean,accuracy_mean,macro_precision_mean,macro_recall_mean,weighted_f1_mean,mcc_mean,cohen_kappa_mean,macro_roc_auc_ovr_mean,weighted_roc_auc_ovr_mean,macro_pr_auc_ovr_mean,log_loss_mean,brier_score_mean,ece_mean,balanced_accuracy_sd,macro_f1_sd,accuracy_sd,macro_precision_sd,macro_recall_sd,weighted_f1_sd,mcc_sd,cohen_kappa_sd,macro_roc_auc_ovr_sd,weighted_roc_auc_ovr_sd,macro_pr_auc_ovr_sd,log_loss_sd,brier_score_sd,ece_sd,n_units
TCGA-BRCA,pnet,0.0,0.8397332492890258,0.8444441777159005,0.8648381085488004,0.8592372565960971,0.8397332492890258,0.8626257455895271,0.7766235557452247,0.7737397941531828,0.9644567492946153,0.9558868243404031,0.9119502144419229,0.370307440081359,0.20071828256981786,0.07479289273941625,0.005650983372264784,0.005672893747233689,0.004434612476938331,0.0027344044724272754,0.005650983372264784,0.00435225909194514,0.005565876222940875,0.006956599627511359,0.0016811854002742248,0.002112141303894233,0.002490007981574512,0.008788185125685305,0.004379071749308062,0.0014101542523330844,3
TCGA-BRCA,pnet,0.25,0.8082904269763466,0.82508266415628,0.8526936740889243,0.8567045347533219,0.8082904269763466,0.8478441044878231,0.7550581420954917,0.7495588261345377,0.9279343894719245,0.9204410754282574,0.8723647265481863,0.9921882742093198,0.22799996550685078,0.08421847716440937,0.011915937165465964,0.008661170535768386,0.006276111515745692,0.007115140753779312,0.011915937165465964,0.005880320943570924,0.007997663772705789,0.0071283095097383975,0.007510675907822966,0.006178292699234425,0.003929233405513469,0.10168464009459567,0.004141344347930045,0.0026407253281623662,3
TCGA-BRCA,pnet,0.5,0.8271156368643182,0.837201076810691,0.8625050888723657,0.855459766373117,0.8271156368643182,0.8596785477210008,0.7758988809113566,0.7737968802922547,0.9668127266408998,0.9594673111687987,0.911147891047782,0.35207451040774257,0.19826439733519455,0.06331634993916253,0.0049007851465843934,0.0035834264036888274,0.0006641125181471292,0.003453572401381265,0.0049007851465843934,0.001645259185821985,0.0024434618573883774,0.00330196239845789,0.0009343043057083218,0.001756353371877248,0.0017536100512128938,0.0071050092509755605,0.0019702078660653825,0.0019724497281459878,3
TCGA-BRCA,pnet,0.75,0.8162155431050798,0.8289367614999152,0.852803076300344,0.8523798549592331,0.8162155431050798,0.8499949380102444,0.7625766317469772,0.7597368777217574,0.9484961402081401,0.941054264678459,0.891772623119614,0.6941371966422216,0.21693708754845462,0.07185879485862728,0.020425432344087925,0.013806066304661184,0.009475420375219541,0.005988281516169156,0.020425432344087925,0.01061991777727731,0.017202202566147396,0.018860885617541606,0.025192761684131745,0.023419270335905375,0.02908233111951716,0.4305094399911508,0.02145061770736198,0.012196726801779393,3
TCGA-BRCA,pnet,1.0,0.7840102982262437,0.803052446153553,0.8315400405312685,0.8369499121958394,0.7840102982262437,0.8267644937016115,0.7280711703480321,0.7226522883184657,0.8988984883507722,0.8915495618786223,0.831981048300772,1.5894363314130835,0.2625503713620962,0.08981466898096384,0.01043899901107112,0.0072606578622291165,0.0030354096182364496,0.001719687037430826,0.01043899901107112,0.005010628929682001,0.005668942048124996,0.007728458623772398,0.020148139212376404,0.01934205555461786,0.02168825482217888,0.3857548154483759,0.011317455209236854,0.007535276117682691,3
TCGA-BRCA,svm_early,0.0,0.7792200896959214,0.7544849959234314,0.7777515723270442,0.7574681108979658,0.7792200896959214,0.7642321827547484,0.682907298089893,0.6804271033142043,0.9532558939047698,0.9451861149332724,0.8794508328664213,0.5611844344760467,0.24034117035407168,0.09933782594134975,0.003697513877230669,0.003915136617050945,0.0031846901101460897,0.002757382860418391,0.003697513877230669,0.0030843004235047806,0.005855748807687218,0.00560919812283818,0.0014392794813371259,0.001269290707395521,0.002549907182539978,0.007638648873924291,0.005761765171541884,0.0027335680429857743,3
TCGA-BRCA,svm_early,0.25,0.7632182518873168,0.745518764445083,0.7813253399131262,0.7526772683943393,0.7632182518873168,0.7656386974291015,0.6737776101010994,0.6714858350757219,0.9485917307693364,0.9437824719714284,0.8688477108646859,0.6201315407623293,0.2523796701516298,0.10683180355523864,0.014097877667237357,0.013103290425105845,0.0077238773720108254,0.011923487143496829,0.014097877667237357,0.008460863671569797,0.011185999872213293,0.011484768799854909,0.007213401498147618,0.0061807555468784674,0.01939431262781191,0.05944943982209258,0.015350903528081944,0.008252682880786583,3
TCGA-BRCA,svm_early,0.5,0.7676021087609132,0.7442986189464885,0.7729955566305643,0.7484080478989168,0.7676021087609132,0.7628531496630263,0.6753676019829146,0.6726599497038532,0.9498677402410962,0.9439715043226095,0.8661832867158547,0.6289679935210364,0.2577954433863125,0.10627490683055603,0.009773471021552186,0.00555900254138742,0.010903334613180011,0.007940930565268923,0.009773471021552186,0.007059141587165038,0.0065159763261036265,0.005936476972438682,0.002402755020204293,0.001964011372062801,0.009991301170551595,0.026706690335842144,0.007256414050227563,0.0036472498997473387,3
TCGA-BRCA,svm_early,0.75,0.7678553904013002,0.7458077949561724,0.7727383120825744,0.7518631041705907,0.7678553904013002,0.7633808804118384,0.6820404253324361,0.6759008715432547,0.9477847651848789,0.9425973246519912,0.8605594238898711,0.6516127088059402,0.2684287736770667,0.11199534476108558,0.006517044339550368,0.012087935972418066,0.01617911229796091,0.015624910271996034,0.006517044339550368,0.016257474107969783,0.00907513814855568,0.0060623408053237324,0.0016438018107787136,0.0010448352874444468,0.006807448264878011,0.011828348455916711,0.005793445951558885,0.002550067549368507,3
TCGA-BRCA,svm_early,1.0,0.7647167773031622,0.7423981729930423,0.774603512350223,0.7442204959129285,0.7647167773031622,0.7609105080021665,0.67212926463682,0.6685029685384647,0.9469979558877041,0.9412721243024641,0.8597133228705016,0.6746461803391769,0.2677828147879158,0.10942899635302132,0.004410739530661928,0.004049908592227716,0.003775403006114753,0.005339609673277458,0.004410739530661928,0.003691391487639877,0.0052878098355447,0.005815253539275428,0.0012209047828095952,0.001583958358836305,0.0024287626612564633,0.011880851685122694,0.006201952794494322,0.002150343317619768,3
